id, latitude, longitude, timestamp, executionTime
0, -22.923943, -43.177799, 2020-02-28T11:09:43.862Z, 4091
1, -22.924776, -43.179428, 2020-02-28T11:10:53.906Z, 1848
2, -22.925875, -43.179329, 2020-02-28T11:11:28.965Z, 2427
3, -22.928761, -43.179279, 2020-02-28T11:12:39.003Z, 1341
4, -22.930351, -43.178955, 2020-02-28T11:13:49.103Z, 2367
5, -22.930725, -43.179085, 2020-02-28T11:14:24.141Z, 2330
6, -22.931084, -43.179314, 2020-02-28T11:15:33.212Z, 1290
7, -22.931461, -43.179459, 2020-02-28T11:16:44.285Z, 2602
8, -22.932478, -43.182209, 2020-02-28T11:17:54.362Z, 2660
9, -22.932751, -43.183285, 2020-02-28T11:18:29.415Z, 1148
10, -22.93276, -43.183285, 2020-02-28T11:19:03.442Z, 1886
