id, latitude, longitude, timestamp, executionTime
0, -22.923943, -43.177799, 2020-03-11T22:44:43.127Z, 1455
1, -22.924776, -43.179428, 2020-03-11T22:45:53.141Z, 1637
2, -22.925875, -43.179329, 2020-03-11T22:46:28.153Z, 2612
3, -22.928761, -43.179279, 2020-03-11T22:47:38.165Z, 3315
4, -22.930351, -43.178955, 2020-03-11T22:48:48.176Z, 2214
5, -22.930725, -43.179085, 2020-03-11T22:49:23.185Z, 2147
6, -22.931084, -43.179314, 2020-03-11T22:50:32.199Z, 1668
7, -22.931461, -43.179459, 2020-03-11T22:51:43.214Z, 1636
8, -22.932478, -43.182209, 2020-03-11T22:52:53.224Z, 3141
9, -22.932751, -43.183285, 2020-03-11T22:53:28.229Z, 2265
10, -22.93276, -43.183285, 2020-03-11T22:54:02.232Z, 1319
