attach,http://207.180.202.219:14265 score: 105.0462904904288 scoreNorm: 0.6689832576491765
1570304110874,1570304111271,1570304111536,0
1570304170919,1570304171528,1570304196858,1
1570304230963,1570304239157,1570304287277,2
1570304303997,1570304324254,1570304435695,3
-1,-1,4
-1,-1,6
-1,-1,5
-1,-1,7
-1,-1,8
-1,-1,10
-1,-1,9
-1,-1,11
-1,-1,12
-1,-1,14
-1,-1,13
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,19
-1,-1,18
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,25
-1,-1,24
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,31
-1,-1,30
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,40
-1,-1,42
-1,-1,41
-1,-1,43
-1,-1,44
